id,ctry,cit,reg,name,url,stat,date,prfs,lat,lon,prts,traf,avg,trgh,ipv6_avg,pch,updt,tc_rank,tw_rank,pc_rank,pr_rank,pw_rank,tr_rank,prts_url,q9,iata,regct
884,"United States",Tampa,"North America","Tampa Internet Exchange",http://www.tpaix.net/,Active,20151005,755567,27.95000,-82.45000,12,3400000,0,550000,0.000000,Yes,2022-02-28,59,524,77,94,603,73,http://tampix.com/members.html,No,TPA,157
897,Ukraine,"Donetsk ",Europe,"Donetsk Internet Exchange",http://www.ix.dn.ua/,Active,20011223,745,48.08000,37.75000,12,1300000,0,0,0.000000,No,2014-06-09,6,558,10,255,603,210,http://www.ix.dn.ua/networks/index.html,No,,337
907,Indonesia,Jakarta,Asia-Pacific,"Biznet Internet Exchange",https://www.biznetnetworks.com/company/network/biznet-internet-exchange,Active,20060000,0,-6.17444,106.82944,232,988349353,567276410,158580373,0.000000,No,2026-08-25,5,135,5,16,59,32,https://portal.bix.id/customer/details,No,,190
917,Poland,Poznan,Europe,"Poznan Internet Exchange",https://www.pozix.pl/,Active,20060310,0,52.42000,16.83000,83,318000000,160000000,100000000,0.000000,No,2020-01-31,7,216,7,87,188,73,https://www.pozix.pl/en/#participants,No,,337
918,Poland,Warsaw,Europe,"Thinx IX",https:/thinx.pl,Active,20081128,657092,52.23000,21.00000,193,1590000000,588000000,464000000,0.000000,Yes,2019-06-30,6,105,5,42,84,32,https://www.atman.pl/en/list-of-all-thinx-ix-members/,No,WAW2,337
926,Lithuania,Vilnius,Europe,"Lithuanian Internet service providers exchange unit",http://is.lt/lt/titulinis.html,Active,20080000,0,54.63000,25.28000,5,0,0,0,0.000000,No,0000-00-00,4,649,4,301,783,240,,No,,337
928,"United States",Chicago,"North America","CoreSite - Any2 Chicago",https://www.coresite.com/solutions/interconnection/peering-exchanges/any2-internet-peering-exchange,Active,20080100,0,41.85000,-87.65000,22,5000000,0,0,0.000000,No,0000-00-00,55,505,61,72,437,68,https://www.coresite.com/interconnection/peering-exchanges/any2-internet-peering-exchange/any2-peering-participants,No,,157
932,Angola,Luanda,Africa,"AngolaIXP - Angola Internet Exchange Point",https://www.angola-ixp.ao/,Active,20060317,989,-8.85000,13.23000,24,7680643679,602944256,160905251,0.000000,Yes,2026-06-20,1,17,2,25,418,2,https://www.angola-ixp.ao/peerings,Yes,NDD,67
933,Ukraine,Odessa,Europe,"Odessa Internet Exchange",http://www.od-ix.net/,Active,20070900,0,46.43000,30.77000,25,28700,0,0,0.000000,No,2017-09-21,9,622,8,172,408,235,http://www.od-ix.net/?page_id=43,No,,337
946,"United States",Phoenix,"North America","Digital Realty Phoenix Internet Exchange",https://ix.digitalrealty.com/,Active,20080602,175670,33.45070,-112.06840,8,1550000,0,1200000,0.000000,Yes,2022-01-05,65,553,87,106,694,79,https://ix.digitalrealty.com/,Yes,PHX,157
978,Ukraine,Kherson,Europe,"Kherson Internet Exchange",https://ix.ks.ua/,Active,20080000,0,46.63000,32.57000,14,120000,105000,50000,0.000000,No,2022-02-28,7,608,9,235,557,231,,No,,337
982,Haiti,"Port au Prince","Latin America","AHTIC Internet Exchange Point",http://ixp.ht/,Active,20090505,139,18.57000,-72.30000,9,12000000,0,200000,0.000000,Yes,2021-03-05,1,453,1,100,671,93,http://190.120.211.245/customer/details,Yes,PAP,143
984,"Dominican Republic","Santo Domingo","Latin America","NAP del Caribe",https://www.napdelcaribe.net.do/,Active,20080700,0,18.43000,-69.88000,15,0,0,0,0.000000,No,0000-00-00,4,649,3,73,544,127,,No,,143
985,Colombia,Bogota,"Latin America","Equinix Internet Exchange Bogota",https://ix.equinix.com,Active,20080300,0,4.70000,-74.13000,45,278678022,275613705,250974237,0.000000,No,2026-08-25,3,224,2,34,302,50,https://ix.equinix.com/home/locations-and-traffic/#traffic,No,,143
987,"Sint Maarten",Philipsburg,"Latin America","Open Caribbean Internet eXchange",http://www.ocix.net/,Active,20081000,0,18.02600,-63.04582,8,1300000,736000,300000,0.000000,No,2018-08-14,1,558,1,107,694,112,http://www.ocix.net/ocix/index.php?option=com_content&task=view&id=14&Itemid=23,No,,143
988,Curaçao,Willemstad,"Latin America","AMS-IX Caribbean",https://www.ams-ix.net/car,Active,20090420,0,12.12240,-68.88240,11,3594337,1142633,441485,0.000000,No,2026-08-25,1,520,1,87,626,107,https://www.ams-ix.net/car/connected-networks,No,,143
